id,product_name,category_1,category_2,category_3,brand
1831,L’Oréal repurpose open-source interfaces 103ml,Bath & Body,Perfume,Body Scrubs,L’Oréal
1880,Unilever harness visionary metrics 231ml,Bath & Body,Conditioners,Hair Masks,Estée Lauder
2246,Procter & Gamble e-enable turn-key bandwidth 470ml,Skin Care,Lipstick,Waterproof Mascara,Unilever
1515,Procter & Gamble synthesize bleeding-edge applications 110ml,Fragrance,Mascara,Body Cleansers,Unilever
1729,Procter & Gamble visualize interactive e-business 223ml,Hair Care,Masks,Body Scrubs,Estée Lauder
2257,Unilever orchestrate virtual platforms 353ml,Fragrance,Mascara,Hair Masks,Procter & Gamble
2037,Coty utilize viral niches 384ml,Fragrance,Lipstick,Day Creams,Unilever
1289,Estée Lauder re-intermediate compelling models 400ml,Makeup,Conditioners,Face Masks,Coty
2417,Unilever synthesize cross-platform initiatives 274ml,Hair Care,Shampoos,Face Masks,Procter & Gamble
1399,L’Oréal maximize magnetic applications 229ml,Bath & Body,Mascara,Matte Lipstick,Unilever
2095,Estée Lauder benchmark scalable schemas 356ml,Skin Care,Conditioners,Body Cleansers,Coty
2048,L’Oréal engineer wireless relationships 165ml,Skin Care,Perfume,Face Masks,Procter & Gamble
1659,Procter & Gamble re-intermediate leading-edge e-commerce 104ml,Fragrance,Mascara,Hair Masks,L’Oréal
2169,Estée Lauder brand distributed schemas 261ml,Hair Care,Lipstick,Face Cleansers,Unilever
2767,Coty cultivate dot-com methodologies 103ml,Hair Care,Conditioners,Night Creams,Procter & Gamble
2212,Estée Lauder empower leading-edge vortals 376ml,Fragrance,Conditioners,Day Creams,L’Oréal
3021,L’Oréal expedite sticky channels 431ml,Skin Care,Moisturizers,Face Masks,Unilever
2153,L’Oréal matrix viral technologies 132ml,Makeup,Lipstick,Body Cleansers,Procter & Gamble
2400,Unilever reinvent clicks-and-mortar solutions 136ml,Hair Care,Shampoos,Hair Masks,Procter & Gamble
2511,Procter & Gamble grow cross-platform e-services 460ml,Hair Care,Body Lotion,Eau de Parfum,Coty
1852,Estée Lauder facilitate impactful channels 67ml,Hair Care,Cleansers,Face Cleansers,L’Oréal
1785,Estée Lauder maximize vertical platforms 236ml,Hair Care,Cleansers,Night Creams,L’Oréal
2942,L’Oréal seize impactful partnerships 360ml,Makeup,Moisturizers,Face Cleansers,Estée Lauder
2592,Unilever architect leading-edge networks 217ml,Skin Care,Shampoos,Hair Masks,Procter & Gamble
2177,L’Oréal orchestrate 24/365 deliverables 266ml,Hair Care,Lipstick,Body Scrubs,Unilever
1450,Estée Lauder target ubiquitous systems 426ml,Hair Care,Body Wash,Eau de Parfum,Estée Lauder
1650,Unilever deploy bleeding-edge applications 168ml,Hair Care,Shampoos,Eau de Parfum,L’Oréal
1823,Procter & Gamble engage wireless interfaces 434ml,Fragrance,Moisturizers,Face Cleansers,Estée Lauder
1233,Estée Lauder embrace web-enabled relationships 348ml,Bath & Body,Lipstick,Matte Lipstick,Coty
2857,Estée Lauder incubate world-class functionalities 58ml,Bath & Body,Masks,Hair Masks,L’Oréal
1903,Estée Lauder unleash dynamic mindshare 333ml,Makeup,Conditioners,Body Scrubs,Coty
1899,Estée Lauder drive plug-and-play architectures 10ml,Fragrance,Perfume,Face Cleansers,Procter & Gamble
2026,L’Oréal synthesize value-added partnerships 310ml,Fragrance,Conditioners,Eau de Parfum,L’Oréal
1209,Unilever repurpose real-time ROI 271ml,Fragrance,Body Wash,Night Creams,Unilever
2140,L’Oréal orchestrate cross-media metrics 215ml,Skin Care,Cleansers,Night Creams,Estée Lauder
1804,L’Oréal disintermediate clicks-and-mortar action-items 399ml,Fragrance,Lipstick,Matte Lipstick,L’Oréal
1989,Procter & Gamble utilize efficient portals 192ml,Skin Care,Body Lotion,Eau de Parfum,L’Oréal
2812,Estée Lauder monetize visionary technologies 234ml,Fragrance,Cleansers,Night Creams,Estée Lauder
2407,Coty grow proactive supply-chains 237ml,Hair Care,Masks,Night Creams,Unilever
2982,Estée Lauder transform frictionless e-business 477ml,Fragrance,Masks,Body Cleansers,Procter & Gamble
1573,L’Oréal redefine granular interfaces 437ml,Makeup,Shampoos,Face Cleansers,L’Oréal
2332,Estée Lauder matrix granular partnerships 356ml,Hair Care,Conditioners,Face Masks,L’Oréal
1363,Procter & Gamble embrace distributed e-commerce 482ml,Makeup,Masks,Night Creams,L’Oréal
1485,Unilever unleash back-end solutions 457ml,Skin Care,Shampoos,Eau de Parfum,Coty
2612,Coty incentivize scalable functionalities 463ml,Makeup,Mascara,Face Masks,Estée Lauder
3030,L’Oréal maximize back-end solutions 480ml,Skin Care,Perfume,Waterproof Mascara,Unilever
2736,Unilever seize B2B ROI 473ml,Bath & Body,Perfume,Body Cleansers,Estée Lauder
3111,L’Oréal target frictionless e-services 160ml,Skin Care,Masks,Night Creams,Unilever
1312,Procter & Gamble cultivate proactive bandwidth 279ml,Fragrance,Body Lotion,Day Creams,L’Oréal
2168,Coty seize one-to-one schemas 47ml,Hair Care,Mascara,Face Masks,Coty
2537,Procter & Gamble envisioneer user-centric networks 83ml,Bath & Body,Mascara,Face Cleansers,Estée Lauder
2482,Estée Lauder orchestrate impactful networks 232ml,Fragrance,Perfume,Face Masks,Estée Lauder
1831,L’Oréal enhance value-added methodologies 42ml,Hair Care,Masks,Day Creams,Coty
2436,L’Oréal optimize visionary action-items 84ml,Skin Care,Shampoos,Face Masks,Coty
2905,Procter & Gamble mesh dynamic content 130ml,Bath & Body,Body Wash,Hair Masks,L’Oréal
3019,L’Oréal leverage 24/7 metrics 228ml,Makeup,Lipstick,Matte Lipstick,L’Oréal
2656,Procter & Gamble synergize innovative supply-chains 381ml,Bath & Body,Body Lotion,Eau de Parfum,Estée Lauder
2775,L’Oréal engage proactive vortals 121ml,Skin Care,Mascara,Matte Lipstick,Coty
3158,Estée Lauder syndicate frictionless e-markets 226ml,Skin Care,Lipstick,Night Creams,Estée Lauder
3055,Estée Lauder strategize wireless e-business 323ml,Hair Care,Masks,Face Cleansers,L’Oréal
1653,Procter & Gamble exploit 24/7 synergies 458ml,Bath & Body,Lipstick,Eau de Parfum,Coty
2485,L’Oréal optimize back-end platforms 328ml,Fragrance,Mascara,Body Scrubs,Coty
2627,Unilever synthesize interactive action-items 28ml,Bath & Body,Mascara,Hair Masks,Estée Lauder
1306,Procter & Gamble unleash sticky systems 406ml,Fragrance,Mascara,Face Cleansers,Unilever
2980,Procter & Gamble grow compelling synergies 163ml,Skin Care,Perfume,Body Cleansers,Estée Lauder
1647,Unilever integrate vertical architectures 196ml,Bath & Body,Mascara,Face Masks,Procter & Gamble
2241,L’Oréal utilize vertical e-tailers 289ml,Hair Care,Conditioners,Face Masks,Estée Lauder
1534,Procter & Gamble repurpose next-generation initiatives 455ml,Skin Care,Perfume,Matte Lipstick,Estée Lauder
2916,Unilever redefine B2C experiences 489ml,Fragrance,Shampoos,Body Scrubs,Estée Lauder
1800,L’Oréal empower front-end infrastructures 307ml,Skin Care,Shampoos,Face Cleansers,Coty
2571,L’Oréal scale vertical web services 343ml,Skin Care,Cleansers,Matte Lipstick,Estée Lauder
1604,L’Oréal reinvent intuitive action-items 347ml,Makeup,Conditioners,Day Creams,Coty
1638,Procter & Gamble benchmark global schemas 183ml,Bath & Body,Lipstick,Face Cleansers,L’Oréal
