id,purchase_id,product_id,amount,price,discount,marketing_rule
89481-4,89481,1363,2,883,62,0
89481-5,89481,1621,1,239,95,1
89481-6,89481,1604,2,947,52,1
1198-0,1198,2235,1,848,14,0
1198-1,1198,1294,2,728,22,0
1198-2,1198,2787,1,855,37,1
1198-3,1198,1081,1,840,74,0
1198-4,1198,2537,2,801,90,1
1198-5,1198,2857,1,159,80,0
1198-6,1198,1875,1,685,85,1
77443-0,77443,2963,1,400,76,0
77443-1,77443,2625,1,742,75,1
77443-2,77443,2026,2,757,70,1
52340-0,52340,1831,2,718,58,0
32614-0,32614,2306,1,615,63,1
32614-1,32614,1375,3,923,44,0
32614-2,32614,2124,3,382,68,1
32614-3,32614,2193,1,610,63,1
76031-0,76031,1668,3,739,76,0
76031-1,76031,2787,1,901,49,1
76031-2,76031,1655,3,721,75,0
76031-3,76031,1729,1,932,49,1
76031-4,76031,1998,1,204,65,0
29013-0,29013,1659,1,419,16,1
29013-1,29013,1880,1,848,98,1
29013-2,29013,1227,1,939,48,0
29013-3,29013,2571,2,181,78,1
29013-4,29013,1912,2,965,86,1
29013-5,29013,3055,1,268,3,1
29013-6,29013,2750,3,992,94,1
75904-0,75904,2787,3,682,11,0
75904-1,75904,1852,1,763,98,0
75904-2,75904,2112,2,678,27,0
97137-0,97137,2306,2,210,23,0
97137-1,97137,1729,3,770,89,0
97137-2,97137,1363,1,712,25,1
97137-3,97137,2440,2,109,28,0
97137-4,97137,2482,2,819,97,0
97137-5,97137,1485,1,377,76,0
90823-0,90823,2252,3,266,55,0
90823-1,90823,2342,1,797,68,1
90823-2,90823,1800,3,262,94,1
90823-3,90823,1797,1,364,55,0
90823-4,90823,2313,1,860,62,0
90823-5,90823,1849,1,894,82,0
90823-6,90823,1870,1,172,15,1
90823-7,90823,2193,1,215,86,0
90823-8,90823,2919,1,188,26,1
79943-0,79943,1604,1,402,26,0
71873-0,71873,2281,1,931,35,0
71873-1,71873,1081,1,140,85,1
32162-0,32162,1804,1,760,18,1
51122-0,51122,2395,1,557,54,0
51122-1,51122,2750,1,366,12,0
51122-2,51122,1209,1,751,34,1
54182-0,54182,2750,3,492,33,0
54182-1,54182,1470,1,839,15,1
54182-2,54182,2154,1,356,18,1
54182-3,54182,2212,1,513,4,0
54182-4,54182,2124,2,787,77,0
54182-5,54182,2228,1,842,94,0
54182-6,54182,2417,1,316,45,1
39168-0,39168,2417,3,118,71,0
93735-0,93735,1381,2,783,58,0
93735-1,93735,2625,1,865,30,0
93735-2,93735,2472,2,765,94,1
93735-3,93735,1470,1,652,8,0
93735-4,93735,2235,1,513,32,0
93735-5,93735,1875,3,868,99,1
93735-6,93735,2750,1,869,89,0
93735-7,93735,2589,1,873,12,0
93735-8,93735,2612,1,144,63,0
93735-9,93735,1899,1,127,37,0
63099-0,63099,2916,2,511,44,0
63099-1,63099,1133,1,304,57,1
63099-2,63099,1655,1,136,76,0
63099-3,63099,1638,1,923,22,1
88408-0,88408,2858,1,924,15,1
88408-1,88408,2436,2,264,38,0
88408-2,88408,1182,3,280,2,0
88408-3,88408,2656,2,341,9,0
88408-4,88408,2980,1,331,68,0
88408-5,88408,1166,1,269,77,1
88408-6,88408,1215,1,835,18,1
48665-0,48665,1419,2,922,64,1
48665-1,48665,2235,1,180,81,0
48665-2,48665,1166,1,651,52,1
48665-3,48665,1890,1,478,96,0
48665-4,48665,2048,1,695,19,0
48665-5,48665,2774,1,465,71,0
48665-6,48665,2742,2,819,42,0
48665-7,48665,2431,1,288,71,1
48665-8,48665,2235,2,727,23,0
48665-9,48665,1899,1,672,42,0
54980-0,54980,1169,1,737,99,1
54980-1,54980,2281,1,500,85,0
54980-2,54980,2919,1,817,3,0
54980-3,54980,2257,1,361,11,0
54980-4,54980,1729,1,830,81,0
54980-5,54980,1899,2,567,9,0
54980-6,54980,1662,1,965,68,0
54980-7,54980,2026,1,794,4,1
54980-8,54980,1875,3,910,35,1
54980-9,54980,2436,1,213,77,0
88131-0,88131,1797,1,472,66,0
88131-1,88131,2902,1,590,99,0
88131-2,88131,2139,2,729,3,0
49537-0,49537,2235,1,770,42,1
49537-1,49537,1314,1,272,36,0
49537-2,49537,1800,1,286,36,1
49537-3,49537,2982,1,827,26,1
49537-4,49537,2281,1,595,14,1
49537-5,49537,1831,1,871,75,0
49537-6,49537,1942,1,334,79,0
25659-0,25659,2154,1,623,81,0
25659-1,25659,3021,2,633,38,0
25659-2,25659,1566,1,263,73,1
80410-0,80410,2919,1,981,14,1
80410-1,80410,2257,1,676,2,0
80410-2,80410,1476,3,902,39,0
80410-3,80410,1498,3,972,32,1
80410-4,80410,1749,1,912,45,1
80410-5,80410,3030,1,919,2,1
80410-6,80410,2571,2,646,37,0
67997-0,67997,1306,1,789,28,1
67997-1,67997,1729,2,379,93,0
67997-2,67997,2548,1,636,4,0
67997-3,67997,2266,2,339,54,1
67997-4,67997,2332,2,722,83,1
67997-5,67997,2933,3,723,11,1
29136-0,29136,1650,1,403,53,1
29136-1,29136,1989,1,893,8,0
37514-0,37514,1874,2,421,64,1
37514-1,37514,1729,2,657,26,1
37514-2,37514,1169,1,562,48,0
37514-3,37514,2213,1,123,18,0
37514-4,37514,1470,1,206,10,0
37514-5,37514,1399,1,788,40,1
37514-6,37514,1880,1,170,14,0
41931-0,41931,2153,1,817,20,1
41931-1,41931,1812,2,174,68,0
41931-2,41931,2306,1,591,20,0
43875-0,43875,1182,1,892,38,1
43875-1,43875,2511,1,555,24,0
43875-2,43875,1450,2,345,21,0
43875-3,43875,1668,2,410,43,1
43875-4,43875,1375,1,649,13,1
43875-5,43875,1512,1,351,66,1
43875-6,43875,2774,3,448,45,0
43875-7,43875,2485,2,941,23,1
43875-8,43875,1566,1,732,43,0
48674-0,48674,2767,1,562,15,1
48674-1,48674,2982,1,475,92,0
48674-2,48674,2168,1,591,31,0
48674-3,48674,2278,1,103,89,0
48674-4,48674,2963,2,794,8,0
48674-5,48674,1690,1,951,89,1
48674-6,48674,1823,2,547,44,1
48674-7,48674,1870,1,910,81,0
48674-8,48674,2400,1,916,76,1
80068-0,80068,1638,2,284,69,1
80068-1,80068,1934,1,135,97,1
80068-2,80068,2154,1,100,26,1
80068-3,80068,2128,1,255,80,0
80068-4,80068,2342,1,458,11,0
80068-5,80068,2589,1,241,51,1
80068-6,80068,1831,2,830,90,1
80068-7,80068,1202,1,761,11,1
80068-8,80068,3055,1,752,97,1
80068-9,80068,1182,2,940,57,1
82897-0,82897,3055,2,841,62,1
82897-1,82897,1843,3,271,56,0
82897-2,82897,1512,1,851,40,0
82897-3,82897,1133,1,785,86,1
82897-4,82897,3158,1,692,53,1
82897-5,82897,2095,1,796,33,0
82897-6,82897,1621,3,908,40,0
82897-7,82897,1399,1,328,86,0
82897-8,82897,2153,1,328,4,0
52095-0,52095,1341,2,896,31,1
87090-0,87090,1215,1,324,77,0
87090-1,87090,1217,1,668,25,1
87090-2,87090,1804,1,934,48,0
87090-3,87090,2410,1,867,97,1
87090-4,87090,2683,3,373,36,1
87090-5,87090,1498,1,585,42,1
87090-6,87090,2577,1,248,58,0
72805-0,72805,2228,1,574,60,0
72805-1,72805,2153,1,501,83,0
72805-2,72805,2963,1,681,16,0
72805-3,72805,1804,1,860,34,1
72805-4,72805,2513,1,916,97,1
72805-5,72805,2485,1,359,59,0
72805-6,72805,3042,1,151,34,0
2216-0,2216,2742,1,179,74,1
2216-1,2216,1215,1,608,66,0
2216-2,2216,2763,1,113,34,1
2216-3,2216,2278,1,231,98,0
2216-4,2216,1752,1,228,76,0
2216-5,2216,1450,1,946,42,1
2216-6,2216,1655,1,802,27,0
2216-7,2216,2446,1,757,74,1
2216-8,2216,1227,2,426,78,1
59786-0,59786,1128,2,563,68,1
59786-1,59786,1852,2,544,76,0
59786-2,59786,2278,1,265,61,1
59786-3,59786,1671,2,410,87,0
59786-4,59786,2613,1,307,34,0
59786-5,59786,3053,1,184,80,0
59786-6,59786,1849,1,383,42,1
59786-7,59786,2027,1,322,40,0
59786-8,59786,2982,3,598,35,0
37153-0,37153,2750,1,702,4,1
37153-1,37153,1086,1,917,92,1
37153-2,37153,1314,1,189,71,0
37153-3,37153,1655,1,143,24,0
85867-0,85867,2613,1,677,71,1
55855-0,55855,2266,1,911,73,1
55855-1,55855,2980,2,737,33,0
55855-2,55855,1057,1,914,87,1
55855-3,55855,3042,1,661,82,0
9060-0,9060,2589,1,990,94,0
9060-1,9060,2278,2,885,86,0
9060-2,9060,2431,1,129,30,0
79713-0,79713,2128,1,320,54,1
79713-1,79713,1081,1,332,19,0
79713-2,79713,2181,1,269,37,1
79713-3,79713,1908,1,310,11,1
23484-0,23484,3055,2,440,52,1
23484-1,23484,3021,1,684,78,1
19794-0,19794,1651,1,234,46,0
19794-1,19794,2181,1,237,96,0
19794-2,19794,1690,1,392,57,0
74347-0,74347,1874,1,806,6,1
74347-1,74347,1831,1,861,52,1
74347-2,74347,2027,1,416,20,1
74347-3,74347,1515,2,840,99,1
74347-4,74347,2787,2,336,97,1
54526-0,54526,2212,1,371,3,0
54526-1,54526,2139,2,258,38,1
54526-2,54526,2048,3,175,64,1
54526-3,54526,2482,2,619,5,0
54526-4,54526,2168,1,221,4,1
54526-5,54526,1729,1,579,98,1
54526-6,54526,2203,1,247,38,1
71610-0,71610,1542,1,623,98,1
71610-1,71610,2470,1,903,5,0
71610-2,71610,1729,1,972,79,1
71610-3,71610,2440,3,522,47,0
71610-4,71610,1831,1,385,58,0
13231-0,13231,2257,1,294,5,1
13231-1,13231,2571,1,695,58,0
19587-0,19587,1823,1,211,61,0
19587-1,19587,1485,1,366,11,0
19587-2,19587,2664,1,206,50,0
19587-3,19587,2577,3,517,25,0
19587-4,19587,2446,1,945,50,1
19587-5,19587,1729,2,509,82,1
19587-6,19587,2767,2,991,10,1
19587-7,19587,2925,1,951,79,0
19587-8,19587,3053,1,982,57,0
19587-9,19587,1169,1,316,61,0
48688-0,48688,1890,3,863,25,0
48688-1,48688,1823,1,603,52,0
48688-2,48688,2400,2,794,60,0
48688-3,48688,1617,2,696,67,1
48688-4,48688,3053,1,140,62,0
48688-5,48688,1485,1,916,47,1
48688-6,48688,1450,1,231,99,0
48688-7,48688,2246,3,358,71,0
48688-8,48688,1830,2,895,73,0
48688-9,48688,2627,1,683,66,0
66737-0,66737,2485,2,755,6,0
66737-1,66737,2140,2,628,82,1
66737-2,66737,1749,1,483,89,1
66737-3,66737,1749,1,496,63,1
28220-0,28220,2105,1,369,40,0
28220-1,28220,2903,2,219,88,1
28220-2,28220,1843,3,941,29,0
28220-3,28220,1182,1,259,20,1
78907-0,78907,2775,1,373,16,1
78907-1,78907,2763,3,508,99,1
78907-2,78907,1651,1,993,99,1
78907-3,78907,1797,1,302,74,1
78907-4,78907,2130,1,304,37,1
78907-5,78907,2048,1,556,78,1
78907-6,78907,2742,1,137,50,1
78907-7,78907,1942,1,670,70,0
78907-8,78907,2181,1,960,89,0
90913-0,90913,2909,1,884,58,0
90913-1,90913,2664,2,933,36,0
90913-2,90913,1542,2,114,2,0
90913-3,90913,2980,1,171,7,0
22412-0,22412,1450,2,173,1,1
22412-1,22412,2942,3,246,33,1
70797-0,70797,2266,1,287,44,1
70797-1,70797,2139,3,987,42,0
70797-2,70797,1989,1,340,76,0
70797-3,70797,2857,1,241,99,1
74868-0,74868,1690,1,908,62,1
74868-1,74868,3042,1,730,93,0
74868-2,74868,2027,1,253,35,1
19662-0,19662,2112,1,855,44,0
98632-0,98632,1800,1,770,3,1
98981-0,98981,2982,3,160,45,0
98981-1,98981,1289,2,520,42,1
98981-2,98981,2203,2,772,19,1
98981-3,98981,2400,1,998,99,1
98981-4,98981,1202,1,919,51,1
98981-5,98981,1306,3,165,76,0
98981-6,98981,2763,1,991,34,0
98981-7,98981,1702,2,281,18,0
98981-8,98981,1209,3,628,51,0
75581-0,75581,1804,2,391,91,1
75581-1,75581,1128,2,222,17,1
75581-2,75581,1843,1,828,24,1
75581-3,75581,2203,2,885,42,1
75581-4,75581,3067,2,788,33,0
75581-5,75581,1668,2,285,9,1
75581-6,75581,1890,1,248,42,1
26540-0,26540,2019,2,584,71,0
26540-1,26540,2241,1,337,14,1
45578-0,45578,2409,1,483,30,0
50016-0,50016,1163,1,106,53,0
76119-0,76119,1182,1,659,66,1
76119-1,76119,1617,1,453,24,0
34337-0,34337,2511,1,368,87,0
34337-1,34337,2417,1,640,70,0
34337-2,34337,2105,1,714,70,1
34337-3,34337,1804,1,684,90,0
34337-4,34337,2127,1,812,18,1
34337-5,34337,2537,1,178,61,0
34337-6,34337,2963,1,451,49,0
34337-7,34337,1870,1,329,61,1
34337-8,34337,1512,1,574,9,1
34337-9,34337,1668,1,755,79,0
87884-0,87884,1998,1,690,55,1
87884-1,87884,2858,2,751,4,1
87884-2,87884,1617,1,668,69,1
87884-3,87884,3067,1,971,25,1
87884-4,87884,2278,1,198,62,1
52828-0,52828,2613,1,639,58,0
52828-1,52828,1942,1,922,71,1
52828-2,52828,2257,2,372,82,1
52828-3,52828,1655,1,638,94,1
52828-4,52828,2169,1,997,0,1
52828-5,52828,2857,1,130,35,1
52828-6,52828,1912,1,994,59,0
664-0,664,2252,2,572,52,0
664-1,664,2664,1,888,38,0
664-2,664,2774,1,635,67,0
664-3,664,2625,1,892,53,1
664-4,664,1804,1,538,24,1
664-5,664,2485,1,472,21,0
664-6,664,1874,2,630,18,1
664-7,664,1870,1,446,4,1
664-8,664,2246,1,403,32,1
664-9,664,2139,1,779,38,1
64556-0,64556,2736,1,900,65,0
64556-1,64556,1890,1,361,27,1
64556-2,64556,1399,1,887,53,1
64556-3,64556,2246,1,549,91,1
64556-4,64556,2919,1,187,98,0
64556-5,64556,2436,1,644,7,1
64556-6,64556,2963,1,425,99,0
64556-7,64556,2925,1,712,3,0
64556-8,64556,2458,1,282,89,1
83226-0,83226,2536,1,358,11,0
83226-1,83226,2472,2,514,75,1
83226-2,83226,1245,3,438,32,1
83226-3,83226,2683,1,732,33,1
83226-4,83226,1870,2,149,90,1
83226-5,83226,2400,1,975,1,0
83226-6,83226,2963,1,585,94,0
83226-7,83226,3021,3,114,11,1
83226-8,83226,1209,1,423,34,1
62150-0,62150,1534,1,333,93,1
62150-1,62150,1133,2,429,62,1
62150-2,62150,2980,1,835,6,0
62150-3,62150,1638,1,759,21,1
62150-4,62150,1245,1,236,42,1
62150-5,62150,2095,3,896,2,1
62150-6,62150,2787,1,569,17,0
62150-7,62150,1515,2,121,3,1
72523-0,72523,1245,1,929,55,0
72523-1,72523,1671,1,616,81,0
72523-2,72523,1202,1,363,14,1
72523-3,72523,2767,2,701,39,1
72523-4,72523,2431,1,900,22,0
6497-0,6497,2925,2,351,87,1
6497-1,6497,1874,1,763,58,1
6497-2,6497,3019,1,217,29,1
6497-3,6497,2812,1,556,19,1
6497-4,6497,3053,1,967,84,0
6497-5,6497,1182,1,431,67,1
6497-6,6497,1450,1,762,5,1
6497-7,6497,2278,1,674,47,1
77437-0,77437,2589,1,192,65,1
77437-1,77437,1998,2,998,18,0
77437-2,77437,2095,2,377,31,1
77437-3,77437,1690,1,177,69,0
77437-4,77437,2127,2,150,92,0
77437-5,77437,1650,1,184,70,0
93741-0,93741,2342,1,435,18,1
55934-0,55934,2395,1,845,15,0
55934-1,55934,1419,3,654,98,0
55934-2,55934,1849,1,952,19,1
55934-3,55934,1659,1,690,37,0
55934-4,55934,1823,1,316,1,1
55934-5,55934,1662,2,102,32,0
55934-6,55934,1232,2,655,23,1
55934-7,55934,2446,2,379,82,1
36769-0,36769,1830,1,365,94,1
36769-1,36769,2470,1,402,24,0
36769-2,36769,2257,1,731,77,0
36769-3,36769,1621,1,734,32,0
36769-4,36769,2027,2,355,76,0
36769-5,36769,2127,1,391,51,0
36769-6,36769,1227,1,419,25,0
36769-7,36769,2919,1,749,28,1
36769-8,36769,2683,1,787,43,1
36769-9,36769,2736,1,771,47,1
71254-0,71254,2763,3,557,2,1
71254-1,71254,2742,1,289,37,1
73196-0,73196,1638,1,551,97,1
73196-1,73196,2278,1,745,17,1
73196-2,73196,1912,3,614,49,1
73196-3,73196,1908,2,729,23,0
73196-4,73196,1934,1,621,44,1
73196-5,73196,2153,1,141,34,1
73196-6,73196,2313,2,895,85,1
47342-0,47342,1899,1,942,17,0
47342-1,47342,2770,1,374,81,0
47342-2,47342,1849,1,749,16,0
47342-3,47342,2105,2,606,66,0
47342-4,47342,1534,1,255,56,1
47342-5,47342,1690,1,472,33,1
47342-6,47342,1870,1,158,83,1
47342-7,47342,1217,1,448,66,0
47342-8,47342,2537,1,326,40,1
29589-0,29589,1797,2,493,43,0
29589-1,29589,2124,1,556,76,1
29589-2,29589,1227,3,163,8,0
29589-3,29589,1647,3,552,32,1
29589-4,29589,1912,1,979,60,0
29589-5,29589,2177,1,397,5,1
29589-6,29589,3111,1,758,51,1
71650-0,71650,1294,1,578,21,1
71650-1,71650,1542,2,116,96,1
71650-2,71650,2278,2,464,77,1
71650-3,71650,2736,1,426,88,1
71650-4,71650,1341,1,867,81,0
71650-5,71650,2982,1,216,8,1
86666-0,86666,1690,1,320,14,1
86666-1,86666,2627,1,775,29,0
86666-2,86666,2916,1,503,89,1
86666-3,86666,2105,2,374,97,0
86666-4,86666,2933,3,635,56,0
86666-5,86666,1217,2,380,22,1
86666-6,86666,2124,1,887,29,1
86666-7,86666,1086,1,364,12,0
77465-0,77465,1086,1,662,7,1
77465-1,77465,1797,1,565,66,0
77465-2,77465,2471,1,568,3,0
77465-3,77465,1849,3,335,57,0
77465-4,77465,1899,2,457,40,1
77465-5,77465,2625,1,363,53,1
77465-6,77465,1232,2,477,85,1
77465-7,77465,3055,3,341,68,0
77465-8,77465,1169,1,577,88,1
77465-9,77465,2037,1,911,76,1
99987-0,99987,1874,1,768,21,1
99987-1,99987,2410,1,643,92,1
99987-2,99987,2332,1,781,73,0
99987-3,99987,1785,3,725,73,0
99987-4,99987,2470,1,197,82,0
25485-0,25485,1849,1,427,12,1
25485-1,25485,2026,1,295,49,1
25485-2,25485,2235,1,821,73,0
25485-3,25485,1566,1,532,19,0
39647-0,39647,1217,1,162,88,0
45953-0,45953,1470,1,495,91,0
37463-0,37463,1312,1,806,74,0
37463-1,37463,2112,1,876,70,0
37463-2,37463,1573,3,375,9,1
37463-3,37463,1852,2,893,92,0
37463-4,37463,1812,1,144,96,0
37463-5,37463,2902,1,979,41,0
37463-6,37463,2019,1,476,54,1
37463-7,37463,1419,1,931,23,1
37463-8,37463,1209,3,398,87,0
18845-0,18845,1512,1,730,7,0
18845-1,18845,2177,1,137,67,0
18845-2,18845,2982,1,959,8,0
44893-0,44893,1804,1,873,54,0
44893-1,44893,1381,1,453,79,1
44893-2,44893,2266,1,757,15,1
44893-3,44893,1823,2,695,48,0
44893-4,44893,2257,3,962,32,1
44893-5,44893,2177,1,969,13,1
31602-0,31602,1450,1,955,0,1
31602-1,31602,1314,1,242,82,0
31602-2,31602,1314,1,183,85,1
31602-3,31602,1227,2,205,93,0
31602-4,31602,1485,1,102,45,0
